Education,Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,MntTotal,TotalCampAccepted,Customer_years
Graduation,Divorced,30992.0,1,0,83,1,1,0,3,7,45,43,0,8
Graduation,Single,101970.0,0,0,69,0,6,8,13,2,38,1135,4,8
2n Cycle,Together,71488.0,0,0,87,2,3,4,7,1,56,559,0,8
Graduation,Single,79607.0,0,0,37,1,3,6,6,1,37,1923,1,8
Master,Married,54348.0,1,1,51,2,2,0,4,6,68,90,0,7
PhD,Married,52247.25135379061,0,1,23,3,6,1,7,6,60,404,0,8
PhD,Together,77376.0,1,1,72,4,6,3,10,4,65,661,0,7
Graduation,Married,62998.0,0,1,10,5,5,4,5,5,69,463,0,8
Master,Alone,61331.0,1,1,42,5,11,1,6,8,63,632,0,8
Graduation,Married,73448.0,0,0,10,1,7,2,9,4,52,725,0,7
Graduation,Married,52247.25135379061,0,1,96,1,6,5,7,4,58,725,0,8
PhD,Married,41551.0,1,1,51,5,5,1,5,8,57,279,0,8
PhD,Together,62981.0,0,0,21,1,4,5,13,3,54,1482,1,8
Basic,Divorced,9548.0,1,0,31,2,1,0,3,8,45,29,0,9
PhD,Married,33762.0,2,1,61,3,2,2,2,8,62,106,0,8
PhD,Alone,35860.0,1,1,37,2,1,1,2,5,48,49,2,7
PhD,Divorced,36921.0,1,1,74,2,2,0,3,7,56,38,0,8
Master,Single,92859.0,0,0,46,1,5,4,12,2,29,2077,0,9
Master,Together,65104.0,0,1,4,2,3,5,7,7,45,1053,1,8
Graduation,Married,86111.0,0,0,73,1,5,7,10,2,59,1385,0,8
PhD,Single,68352.0,0,1,47,3,8,5,9,6,47,871,0,8
Graduation,Together,41883.0,1,0,13,3,4,2,3,7,33,312,0,8
Graduation,Married,59809.0,0,2,36,3,3,3,6,8,45,877,0,9
Graduation,Married,23957.0,1,0,47,1,2,0,3,6,46,68,1,9
Graduation,Together,38547.0,1,0,49,1,1,0,2,8,40,22,0,8
2n Cycle,Married,35688.0,2,1,94,7,4,1,4,8,48,211,0,9
Master,Married,49605.0,0,0,65,1,2,1,4,3,55,127,0,7
Master,Married,59354.0,0,2,59,1,4,4,7,3,68,459,0,7
Graduation,Married,65747.0,0,1,96,4,8,1,6,6,52,460,1,7
2n Cycle,Together,46344.0,0,1,28,4,7,1,5,7,49,429,0,9
Graduation,Alone,34176.0,1,0,12,4,3,0,4,6,33,89,0,7
PhD,Together,61010.0,0,1,57,2,8,5,11,5,69,1021,0,9
Graduation,Together,69372.0,0,0,10,1,10,4,6,4,72,1381,3,8
Graduation,Single,49967.0,0,1,4,3,6,1,5,7,63,306,0,8
Graduation,Single,60199.0,1,2,49,1,0,0,3,4,43,18,0,8
Graduation,Together,55375.0,0,1,3,1,1,1,6,2,44,162,0,8
Graduation,Single,80317.0,0,0,64,1,3,4,10,1,66,1231,0,8
Master,Single,30523.0,2,1,0,1,1,0,2,7,63,13,0,8
PhD,Married,70356.0,0,0,20,2,10,6,9,6,76,1706,0,9
Graduation,Married,23228.0,1,0,91,4,3,0,4,8,37,121,0,7
PhD,Divorced,74165.0,0,0,9,1,5,4,10,2,46,1293,0,8
PhD,Married,157243.0,0,1,98,15,0,22,0,0,48,1608,0,7
Graduation,Together,43482.0,2,1,83,3,2,0,4,6,55,88,0,8
Graduation,Divorced,62551.0,0,0,27,1,6,7,4,3,68,421,1,8
Graduation,Divorced,52332.0,0,0,63,1,3,2,6,4,62,259,1,8
Graduation,Single,66951.0,0,0,46,1,3,4,7,1,33,1117,0,8
Graduation,Together,26091.0,1,1,84,3,2,1,3,5,64,89,0,7
Graduation,Together,33456.0,1,1,58,2,1,0,3,7,56,36,0,7
Graduation,Married,28718.0,1,0,78,2,2,0,3,8,39,57,0,8
Graduation,Married,50447.0,2,0,4,1,3,1,3,6,51,148,0,7
PhD,Together,53537.0,1,1,17,2,2,1,3,5,62,93,0,7
Graduation,Single,52074.0,0,1,77,1,2,2,2,4,54,119,1,7
PhD,Married,80427.0,0,1,56,1,11,8,8,5,46,1835,0,9
PhD,Married,83837.0,0,0,79,1,9,10,5,4,73,1318,3,9
PhD,Married,38853.0,1,1,90,2,2,0,3,7,51,45,0,7
Graduation,Together,38285.0,2,1,96,1,0,0,3,2,62,10,0,7
2n Cycle,Married,78497.0,0,0,44,1,5,7,12,2,70,978,1,8
PhD,Married,51650.0,0,1,81,1,4,1,4,5,45,191,0,7
2n Cycle,Married,16248.0,1,0,77,3,2,1,3,6,33,57,0,7
Master,Married,66835.0,0,0,21,1,6,4,13,2,75,1033,0,8
Master,Married,30477.0,1,0,16,1,1,1,3,6,37,66,0,7
Basic,Married,28249.0,0,0,80,1,2,0,3,6,60,43,0,7
Graduation,Married,25271.0,1,0,45,1,1,1,2,9,38,50,0,9
PhD,Single,32303.0,0,1,63,2,1,0,4,5,51,39,0,7
Graduation,Married,61286.0,0,1,34,2,7,1,8,5,55,608,0,8
Graduation,Married,74068.0,0,0,14,1,4,10,9,2,45,1581,0,8
PhD,Married,45759.0,1,1,13,2,2,0,3,7,57,68,0,8
Basic,Together,24882.0,1,0,52,1,1,1,2,6,43,80,1,9
PhD,Together,66973.0,0,0,98,1,8,7,12,3,32,1282,0,8
2n Cycle,Divorced,36640.0,1,0,99,1,2,1,2,5,121,65,0,8
Graduation,Married,38872.0,1,0,93,2,3,0,3,8,33,91,0,8
Graduation,Married,51148.0,1,1,38,4,5,1,6,6,48,315,0,8
Graduation,Married,31353.0,1,1,24,2,1,1,2,8,44,31,0,8
Master,Married,69661.0,0,0,80,1,7,3,12,3,41,834,0,7
Graduation,Married,80067.0,0,0,82,1,4,6,6,2,67,1600,1,8
Graduation,Married,86718.0,0,0,20,1,5,6,5,2,67,1270,0,8
PhD,Single,46854.0,1,1,81,6,5,1,3,8,48,263,2,7
Graduation,Divorced,69142.0,0,1,50,3,8,1,7,5,69,535,1,7
Graduation,Single,75922.0,0,0,60,1,4,4,9,1,53,1295,0,8
Graduation,Divorced,63693.0,0,1,63,3,11,6,9,6,43,1150,0,8
PhD,Together,102160.0,0,0,54,0,7,9,10,4,44,1240,4,9
PhD,Single,40637.0,1,1,72,2,1,0,3,7,56,38,0,8
Master,Single,18890.0,0,0,5,1,0,1,2,6,37,35,2,9
Graduation,Together,29604.0,1,0,88,1,1,0,3,9,33,53,1,8
Master,Divorced,48721.0,1,1,50,6,4,2,5,6,58,293,0,8
Graduation,Married,44794.0,0,1,99,1,2,0,3,6,55,65,0,7
Graduation,Divorced,64497.0,0,1,17,5,11,4,9,8,67,1804,2,9
Graduation,Together,46097.0,0,1,11,5,3,1,6,4,65,241,0,8
Graduation,Together,77972.0,0,0,18,1,4,6,9,1,67,1101,0,7
PhD,Married,44377.0,1,1,70,8,5,1,5,8,53,264,0,9
Master,Together,46014.0,1,1,21,10,7,1,8,7,47,541,0,8
Graduation,Married,70951.0,0,0,66,1,3,4,9,1,36,1198,0,8
Graduation,Married,41443.0,1,0,79,6,8,1,5,8,44,482,0,7
2n Cycle,Single,52195.0,2,1,2,1,1,0,2,8,43,17,0,7
Master,Married,83790.0,0,0,81,1,8,10,6,3,73,1615,2,8
Master,Widow,44551.0,0,1,24,2,4,1,5,7,67,285,0,8
Graduation,Together,69508.0,1,0,48,2,11,4,11,6,41,1135,0,9
2n Cycle,Together,45204.0,1,0,93,1,1,1,4,3,33,114,0,7
Graduation,Married,72460.0,0,0,56,1,3,5,7,1,52,1047,0,8
PhD,Together,77622.0,0,2,3,2,6,3,11,3,51,714,0,7
PhD,Married,30732.0,1,0,44,4,4,1,4,8,41,185,0,8
Graduation,Divorced,63887.0,0,1,38,5,9,6,12,6,59,1245,0,9
Graduation,Together,42011.0,1,0,46,4,3,1,4,8,43,189,0,8
Graduation,Together,51369.0,0,1,84,2,8,2,4,8,45,576,0,9
Graduation,Divorced,51537.0,0,1,27,3,2,2,11,8,69,1103,0,9
PhD,Married,79930.0,0,0,72,1,3,5,8,2,49,1753,0,9
PhD,Together,34320.0,1,0,66,1,1,0,2,8,35,17,0,7
Graduation,Single,37070.0,1,1,30,9,5,1,8,7,55,433,1,8
2n Cycle,Divorced,81975.0,0,1,2,1,6,3,4,7,59,1588,1,8
Graduation,Together,38590.0,1,0,65,1,1,0,2,8,50,22,0,8
Graduation,Single,15033.0,0,0,37,1,1,0,3,3,70,19,0,7
PhD,Married,62745.0,0,1,89,3,7,8,11,5,56,1117,0,8
2n Cycle,Married,22212.0,1,0,49,2,2,0,4,6,46,69,0,8
Master,Together,23661.0,1,0,46,1,1,0,3,7,39,23,0,8
PhD,Single,79761.0,0,1,32,1,5,2,11,3,63,605,0,8
Graduation,Single,7500.0,1,0,54,4,3,1,3,7,48,57,0,8
2n Cycle,Single,60182.0,0,1,23,1,1,0,2,4,128,22,0,7
Graduation,Widow,73455.0,0,0,98,1,6,5,10,3,53,2088,1,8
Graduation,Together,64961.0,0,1,97,2,6,4,4,3,63,1009,0,9
Graduation,Single,22804.0,1,0,75,1,2,0,2,9,50,26,0,8
Graduation,Married,73687.0,0,0,8,1,3,9,9,2,31,1627,2,8
Graduation,Married,61074.0,0,1,37,7,11,5,8,7,63,1102,0,9
PhD,Married,31686.0,1,1,31,2,1,0,3,6,57,17,0,7
Graduation,Married,80134.0,1,0,40,2,5,3,6,6,49,1690,4,8
Graduation,Married,75027.0,0,1,74,2,9,4,6,5,68,1390,0,8
PhD,Married,67546.0,0,0,90,1,4,10,5,3,33,2126,0,9
Master,Together,65176.0,0,1,57,4,9,6,6,6,52,1531,0,9
Master,Single,31160.0,1,0,59,2,2,0,3,8,46,64,0,8
Graduation,Single,29938.0,1,0,52,2,1,0,3,6,36,26,0,8
Graduation,Divorced,102692.0,0,0,5,1,6,9,13,2,47,1112,5,8
2n Cycle,Together,26490.0,0,0,92,2,3,1,5,6,63,210,0,9
Graduation,Together,75702.0,1,1,77,5,4,6,11,8,54,1148,0,9
PhD,Single,30899.0,1,0,35,2,1,0,3,6,47,33,0,9
PhD,Together,63342.0,0,1,48,3,8,3,5,6,60,1101,1,9
Graduation,Single,45989.0,0,1,97,4,3,2,7,3,57,322,0,9
Graduation,Single,18701.0,1,1,95,4,2,0,4,5,57,44,0,8
PhD,Single,40737.0,2,1,24,1,1,0,2,8,64,17,0,8
Graduation,Divorced,15287.0,1,0,60,2,1,1,2,7,42,31,2,9
PhD,Divorced,69674.0,0,2,46,3,10,2,10,5,53,845,0,8
Master,Married,44159.0,1,0,85,4,4,1,6,5,51,275,0,7
PhD,Married,37717.0,1,0,31,1,1,0,2,9,43,25,0,9
Master,Together,43776.0,1,1,9,6,5,2,4,8,69,275,1,8
Master,Married,38179.0,1,1,30,4,3,1,3,7,55,90,0,8
Graduation,Married,80124.0,0,0,47,1,3,7,8,1,58,1495,1,7
PhD,Married,38097.0,1,1,70,4,3,2,2,7,51,184,2,9
Graduation,Married,72940.0,0,0,13,1,3,3,6,1,51,981,0,8
Graduation,Together,22070.0,1,0,11,2,2,2,2,6,51,67,0,8
Graduation,Single,69267.0,0,0,31,2,3,4,5,7,68,1635,1,9
Master,Single,31788.0,1,0,15,3,3,0,4,5,38,60,0,7
PhD,Together,61905.0,0,1,2,2,4,2,4,5,46,231,0,7
Graduation,Married,29315.0,1,1,55,4,2,0,4,6,61,48,0,7
Graduation,Divorced,33378.0,1,1,38,3,2,0,4,7,58,99,0,8
PhD,Together,66313.0,0,1,86,2,6,3,12,4,58,770,0,8
Graduation,Single,60714.0,0,0,56,2,7,4,10,5,65,957,1,8
Master,Together,77882.0,0,0,29,1,3,3,5,1,40,818,0,7
PhD,Single,69867.0,0,0,30,1,3,5,8,1,35,925,2,8
Master,Divorced,63841.0,0,1,64,1,9,3,9,6,53,908,0,8
Basic,Married,24480.0,1,0,46,3,3,0,4,7,40,102,0,8
Graduation,Together,51369.0,0,1,84,2,8,2,4,8,45,576,0,9
Graduation,Together,37760.0,0,0,20,2,4,1,6,7,75,317,0,9
PhD,Together,65640.0,0,1,74,1,5,1,8,2,47,461,0,7
Master,Married,44319.0,1,1,18,2,2,0,3,5,46,37,0,7
Graduation,Married,30631.0,1,0,75,1,3,1,2,7,47,70,0,8
Graduation,Together,75278.0,0,0,17,1,6,3,13,3,69,930,0,8
Master,Together,50898.0,1,1,88,13,6,2,12,5,65,859,0,8
Graduation,Widow,79946.0,0,0,19,1,5,11,5,3,55,1478,0,7
Master,Divorced,35416.0,0,0,62,3,7,1,5,8,72,390,0,8
2n Cycle,Together,32414.0,0,0,11,1,1,0,3,7,37,52,1,8
Graduation,Together,38361.0,1,0,74,3,3,1,3,7,52,137,0,8
Graduation,Married,82497.0,0,0,32,1,2,7,9,4,41,1919,1,9
Graduation,Together,16626.0,2,0,76,3,3,0,3,9,50,68,0,7
Graduation,Together,29672.0,1,1,6,1,0,0,3,6,56,25,0,8
Master,Together,55951.0,0,1,62,3,3,6,11,8,69,1374,2,9
2n Cycle,Divorced,35388.0,1,0,20,1,1,0,3,7,33,32,0,8
Master,Together,42386.0,1,0,43,1,3,0,3,8,35,100,0,8
Graduation,Single,68627.0,0,0,45,1,2,3,6,1,39,825,0,8
PhD,Divorced,57912.0,0,1,34,5,8,3,12,5,56,916,1,7
Graduation,Divorced,35246.0,1,1,53,4,3,1,3,5,63,62,0,7
2n Cycle,Together,58821.0,0,1,44,1,9,2,9,6,65,728,0,8
PhD,Married,46377.0,1,0,89,1,2,1,3,4,43,90,0,7
Graduation,Single,39747.0,1,0,43,3,5,1,4,8,33,273,0,7
Graduation,Together,23976.0,1,0,68,3,3,1,3,7,37,66,0,8
Master,Married,80950.0,0,0,44,1,6,7,9,2,60,1213,1,8
Graduation,Widow,27038.0,0,0,64,1,3,0,3,9,55,107,1,9
Graduation,Single,77457.0,0,0,85,1,2,5,10,1,74,1157,1,7
Master,Married,64100.0,0,1,93,1,8,3,6,7,57,546,1,8
Master,Together,42670.0,0,0,12,1,4,2,4,4,29,241,0,8
Graduation,Divorced,12571.0,1,0,86,4,3,1,3,6,45,53,0,7
Graduation,Married,22574.0,2,1,28,2,2,0,3,7,54,37,0,8
Graduation,Married,52247.25135379061,0,0,69,1,6,5,12,3,32,1611,2,8
Master,Single,70893.0,0,0,42,1,6,6,10,3,45,1508,0,8
Graduation,Married,54198.0,1,1,13,6,3,1,6,4,55,235,0,8
Master,Together,28839.0,1,1,86,2,2,0,3,5,65,32,0,7
Graduation,Married,40321.0,1,1,59,2,3,0,3,7,49,102,0,8
Graduation,Single,66503.0,1,0,30,2,4,3,6,3,36,401,0,9
Graduation,Married,30833.0,1,1,33,2,1,0,3,5,70,28,0,8
Graduation,Single,52247.25135379061,1,2,67,6,2,3,10,7,51,1052,2,8
Graduation,Married,64795.0,0,1,23,3,3,3,12,2,50,680,0,8
Graduation,Married,34421.0,1,0,81,1,1,0,2,7,47,30,0,8
PhD,Divorced,47025.0,1,1,6,1,1,0,2,7,56,20,0,7
PhD,Divorced,64325.0,0,1,41,5,10,3,5,7,60,1307,0,8
Graduation,Single,40464.0,0,1,78,6,8,2,8,8,68,630,0,8
Graduation,Married,62187.0,0,0,49,1,4,8,5,3,64,1283,0,8
PhD,Divorced,14849.0,1,0,39,3,2,0,4,8,45,65,0,8
Graduation,Married,27255.0,1,0,3,1,1,0,3,7,37,37,0,8
PhD,Married,54432.0,2,1,37,1,1,0,3,4,71,38,0,8
PhD,Single,29999.0,1,0,22,4,3,1,4,8,35,160,0,8
Graduation,Single,24072.0,1,0,79,1,1,0,2,8,38,23,0,8
PhD,Single,33996.0,0,0,46,1,1,1,3,4,32,71,0,8
PhD,Married,66334.0,0,1,82,2,9,3,5,5,65,1161,1,8
Master,Married,35178.0,1,0,10,1,1,1,2,7,50,59,2,8
Graduation,Together,22010.0,1,0,51,2,2,0,3,8,38,33,0,8
Graduation,Divorced,62204.0,0,2,38,1,4,5,12,3,61,946,0,9
Graduation,Divorced,75693.0,0,0,10,1,11,4,6,4,53,1442,4,9
Graduation,Married,30675.0,1,0,14,1,1,0,3,8,49,62,0,9
Graduation,Together,83003.0,0,0,18,1,7,6,8,3,56,1674,2,8
PhD,Together,83532.0,0,0,36,1,4,6,4,1,122,1853,1,8
Graduation,Single,68655.0,0,0,95,1,4,5,11,3,33,1538,0,9
Graduation,Divorced,41411.0,0,0,11,1,2,1,4,6,35,139,0,8
PhD,Married,55212.0,0,1,65,3,4,2,11,8,52,1182,2,9
PhD,Together,59292.0,0,1,71,2,3,5,8,3,71,507,0,8
Basic,Together,27190.0,1,0,13,1,1,0,2,8,48,18,2,8
Graduation,Divorced,82623.0,0,0,58,1,2,9,4,1,69,940,0,8
Graduation,Married,44300.0,1,1,65,2,1,0,3,6,56,42,0,8
Graduation,Divorced,84835.0,0,0,0,1,4,4,6,1,51,1190,1,7
Graduation,Widow,30372.0,1,1,33,3,2,0,3,7,50,44,0,9
Master,Married,33181.0,1,0,90,1,1,0,2,6,45,16,1,7
Graduation,Married,71113.0,0,1,95,4,6,7,9,4,64,835,0,8
Graduation,Married,71952.0,1,0,93,2,8,4,8,4,35,1443,2,8
PhD,Single,69759.0,0,0,38,3,4,6,5,3,55,1029,1,8
Graduation,Married,72099.0,0,0,18,1,3,4,10,1,47,1188,0,9
PhD,Single,60000.0,0,1,57,5,11,3,5,6,45,1277,0,9
Graduation,Single,38643.0,1,1,45,2,2,0,3,7,43,49,0,8
Graduation,Married,50737.0,0,1,61,1,2,0,4,6,66,99,1,8
PhD,Married,68462.0,0,0,6,1,3,3,8,1,52,1670,0,9
Master,Married,65073.0,0,0,65,1,5,3,5,2,78,900,0,8
PhD,Together,46681.0,0,2,52,2,4,6,4,5,73,425,0,8
Graduation,Married,78618.0,0,0,87,1,4,7,10,2,64,2153,1,9
PhD,Widow,62187.0,0,1,38,3,6,2,10,4,52,636,0,7
Graduation,Married,28442.0,2,0,53,3,2,1,4,4,43,57,0,7
PhD,Married,37717.0,1,0,31,1,1,0,2,9,43,25,0,9
Graduation,Married,51479.0,1,1,67,7,6,3,6,7,54,494,0,9
Graduation,Single,54803.0,0,1,65,2,6,2,9,4,52,693,0,9
Graduation,Married,79530.0,0,0,64,1,4,10,11,2,61,1348,0,8
Graduation,Divorced,31615.0,1,0,82,2,2,0,3,7,45,51,0,8
Graduation,Together,72025.0,0,0,27,1,4,3,8,3,59,1932,0,9
PhD,Single,52614.0,0,1,63,2,2,4,8,8,46,990,0,9
